id,nome,siglaPartido,siglaUf,idLegislatura,email,sexo,username
204554,ABÍLIO SANTANA,PL,BA,56,dep.abiliosantana@camara.leg.br,M,AbilioSantana_
204521,ABOU ANNI,PSL,SP,56,dep.abouanni@camara.leg.br,M,NA
204379,ACÁCIO FAVACHO,PROS,AP,56,dep.acaciofavacho@camara.leg.br,M,AcacioFavacho
204560,ADOLFO VIANA,PSDB,BA,56,dep.adolfoviana@camara.leg.br,M,AdolfoViana_
204528,ADRIANA VENTURA,NOVO,SP,56,dep.adrianaventura@camara.leg.br,F,adrianasounovo
121948,ADRIANO DO BALDY,PP,GO,56,dep.adrianodobaldy@camara.leg.br,M,adrianodobaldy
74646,AÉCIO NEVES,PSDB,MG,56,dep.aecioneves@camara.leg.br,M,AecioNeves
160508,AFONSO FLORENCE,PT,BA,56,dep.afonsoflorence@camara.leg.br,M,AfonsoFlorence
136811,AFONSO HAMM,PP,RS,56,dep.afonsohamm@camara.leg.br,M,DepAfonsoHamm
178835,AFONSO MOTTA,PDT,RS,56,dep.afonsomotta@camara.leg.br,M,afonso_motta
160527,AGUINALDO RIBEIRO,PP,PB,56,dep.aguinaldoribeiro@camara.leg.br,M,depaguinaldo11
204495,AIRTON FALEIRO,PT,PA,56,dep.airtonfaleiro@camara.leg.br,M,FaleiroAirton
204549,AJ ALBUQUERQUE,PP,CE,56,dep.ajalbuquerque@camara.leg.br,M,NA
178836,ALAN RICK,DEM,AC,56,dep.alanrick@camara.leg.br,M,Alan_Rick
160559,ALCEU MOREIRA,MDB,RS,56,dep.alceumoreira@camara.leg.br,M,Alceu_Moreira
204413,ALCIDES RODRIGUES,PATRIOTA,GO,56,dep.alcidesrodrigues@camara.leg.br,M,NA
204545,ALÊ SILVA,PSL,MG,56,dep.alesilva@camara.leg.br,F,oficialalesilva
204501,ALENCAR SANTANA BRAGA,PT,SP,56,dep.alencarsantanabraga@camara.leg.br,M,AlencarBraga13
160511,ALESSANDRO MOLON,PSB,RJ,56,dep.alessandromolon@camara.leg.br,M,alessandromolon
178972,ALEX MANENTE,CIDADANIA,SP,56,dep.alexmanente@camara.leg.br,M,AlexManente23
204571,ALEX SANTANA,PDT,BA,56,dep.alexsantana@camara.leg.br,M,NA
204544,ALEXANDRE FROTA,PSDB,SP,56,dep.alexandrefrota@camara.leg.br,M,alefrotabrasil
160545,ALEXANDRE LEITE,DEM,SP,56,dep.alexandreleite@camara.leg.br,M,lexandreleite
204503,ALEXANDRE PADILHA,PT,SP,56,dep.alexandrepadilha@camara.leg.br,M,padilhando
178833,ALEXANDRE SERFIOTIS,PSD,RJ,56,dep.alexandreserfiotis@camara.leg.br,M,AleSerfiotis
204516,ALEXIS FONTEYNE,NOVO,SP,56,dep.alexisfonteyne@camara.leg.br,M,AlexisFonteyne
74057,ALICE PORTUGAL,PCdoB,BA,56,dep.aliceportugal@camara.leg.br,F,Alice_Portugal
178927,ALIEL MACHADO,PSB,PR,56,dep.alielmachado@camara.leg.br,M,alielmachado
204353,ALINE GURGEL,REPUBLICANOS,AP,56,dep.alinegurgel@camara.leg.br,F,dep_alinegurgel
204400,ALINE SLEUTJES,PSL,PR,56,dep.alinesleutjes@camara.leg.br,F,AlineSleutjes
178937,ALTINEU CÔRTES,PL,RJ,56,dep.altineucortes@camara.leg.br,M,Altineu
178881,ALUISIO MENDES,PODE,MA,56,dep.aluisiomendes@camara.leg.br,M,AluisioMendesMA
204356,AMARO NETO,REPUBLICANOS,ES,56,dep.amaroneto@camara.leg.br,M,amaronetotv
178831,ANDRÉ ABDON,PP,AP,56,dep.andreabdon@camara.leg.br,M,NA
74471,ANDRÉ DE PAULA,PSD,PE,56,dep.andredepaula@camara.leg.br,M,NA
204423,ANDRÉ FERREIRA,PSC,PE,56,dep.andreferreira@camara.leg.br,M,aferreira2020
133439,ANDRÉ FIGUEIREDO,PDT,CE,56,dep.andrefigueiredo@camara.leg.br,M,andrepdt12
178882,ANDRÉ FUFUCA,PP,MA,56,dep.andrefufuca@camara.leg.br,M,DepAndreFufuca
204515,ANDRÉ JANONES,AVANTE,MG,56,dep.andrejanones@camara.leg.br,M,AndreJanonesAdv
73696,ANGELA AMIN,PP,SC,56,dep.angelaamin@camara.leg.br,F,angelaamin11
74212,ANÍBAL GOMES,DEM,CE,56,dep.anibalgomes@camara.leg.br,M,NA
160553,ANTONIO BRITO,PSD,BA,56,dep.antoniobrito@camara.leg.br,M,NA
